   1.97293401      -1.13907397       0.00000000    
   1.97293401       1.13907397      -0.00000000    
  -0.00000000       0.00000000      0.197293401    
          10          10
   9.18367356E-02   0.00000000       0.00000000    
              (-17.595829788713488,0.0000000000000000)   1.0000000000000000     
    -4    -1     2  (  -0.364515E-05 ,  -0.168627E-05 )
    -3    -1     2  (   0.200554E-05 ,   0.620210E-05 )
    -2    -1     2  (  -0.129743E-03 ,  -0.580701E-04 )
    -1    -1     2  (   0.152542E-02 ,   0.292437E-03 )
     0     0     3  (  -0.365734E-01 ,  -0.498283E-02 )
     1     0     3  (   0.314904E-02 ,  -0.645982E-02 )
     2     0     3  (   0.744796E-05 ,   0.616796E-03 )
     3     0     3  (  -0.248134E-04 ,   0.397399E-05 )
     4     0     3  (   0.844799E-07 ,   0.158067E-05 )
     5     0     3  (   0.989764E-08 ,  -0.118681E-05 )
    -6     0     3  (  -0.325558E-06 ,  -0.238088E-06 )
    -5     0     3  (  -0.188782E-06 ,   0.205638E-05 )
    -4     0     3  (  -0.258089E-05 ,   0.365801E-05 )
    -3     0     3  (  -0.689268E-04 ,  -0.430130E-04 )
    -2     0     3  (   0.212772E-03 ,  -0.285445E-03 )
    -1     0     3  (   0.328914E-02 ,   0.888303E-02 )
     0     1     3  (   0.188697E-02 ,   0.738175E-02 )
     1     1     3  (  -0.409521E-03 ,  -0.106873E-03 )
     2     1     3  (   0.301100E-04 ,  -0.910888E-04 )
     3     1     3  (  -0.113008E-05 ,   0.327000E-05 )
     4     1     3  (   0.199553E-05 ,  -0.217089E-06 )
     5     1     3  (   0.208936E-06 ,  -0.690053E-06 )
    -6     1     3  (   0.436086E-06 ,   0.569887E-07 )
    -5     1     3  (   0.283692E-05 ,   0.150679E-05 )
    -4     1     3  (  -0.218477E-05 ,  -0.521212E-05 )
    -3     1     3  (   0.116269E-03 ,   0.403241E-04 )
    -2     1     3  (  -0.116750E-02 ,  -0.260581E-03 )
    -1     1     3  (   0.516880E-02 ,  -0.705398E-02 )
     0     2     3  (   0.142401E-03 ,  -0.539683E-03 )
     1     2     3  (   0.303755E-04 ,   0.106187E-03 )
     2     2     3  (  -0.609508E-05 ,  -0.140931E-05 )
     3     2     3  (  -0.171004E-05 ,   0.377149E-05 )
     4     2     3  (  -0.682421E-07 ,   0.104650E-06 )
    -6     2     3  (  -0.374772E-07 ,   0.108225E-05 )
    -5     2     3  (  -0.271448E-05 ,  -0.170636E-05 )
    -4     2     3  (  -0.108086E-04 ,  -0.444509E-05 )
    -3     2     3  (   0.103481E-03 ,  -0.344590E-05 )
    -2     2     3  (   0.103314E-04 ,   0.412432E-03 )
    -1     2     3  (  -0.732528E-03 ,  -0.772769E-06 )
     0     3     3  (  -0.273475E-04 ,  -0.174857E-04 )
     1     3     3  (  -0.959742E-06 ,  -0.467735E-05 )
     2     3     3  (  -0.115138E-05 ,  -0.430763E-05 )
     3     3     3  (   0.315850E-06 ,  -0.662320E-07 )
    -6     3     3  (  -0.318601E-06 ,  -0.181829E-07 )
    -5     3     3  (  -0.259152E-05 ,   0.116862E-05 )
    -4     3     3  (  -0.420297E-05 ,   0.642056E-05 )
    -3     3     3  (  -0.568051E-04 ,   0.133008E-04 )
    -2     3     3  (   0.111544E-03 ,  -0.590249E-04 )
    -1     3     3  (   0.230906E-04 ,   0.775016E-04 )
     0     4     3  (  -0.628111E-06 ,  -0.546593E-06 )
     1     4     3  (   0.205948E-05 ,   0.912959E-06 )
     2     4     3  (  -0.120524E-06 ,   0.494221E-07 )
    -6     4     3  (   0.324246E-06 ,  -0.908284E-06 )
    -5     4     3  (   0.301413E-05 ,  -0.379606E-06 )
    -4     4     3  (  -0.116766E-05 ,  -0.207133E-05 )
    -3     4     3  (  -0.571691E-05 ,   0.607705E-05 )
    -2     4     3  (  -0.578871E-05 ,  -0.546547E-06 )
    -1     4     3  (  -0.822216E-06 ,  -0.560267E-05 )
     0     5     3  (  -0.354669E-06 ,   0.137502E-05 )
     1     5     3  (   0.142074E-06 ,   0.615797E-06 )
    -6     5     3  (   0.371856E-06 ,  -0.413597E-07 )
    -5     5     3  (   0.207829E-06 ,  -0.189509E-05 )
    -4     5     3  (   0.276779E-05 ,  -0.507751E-06 )
